inspection_date,year,month,month_name,day,day_name,quarter
12/08/2016,2016,12,December,8,Thursday,4
10/18/2017,2017,10,October,18,Wednesday,4
02/28/2020,2020,2,February,28,Friday,1
01/30/2019,2019,1,January,30,Wednesday,1
02/11/2020,2020,2,February,11,Tuesday,1
02/16/2017,2017,2,February,16,Thursday,1
05/06/2017,2017,5,May,6,Saturday,2
06/02/2018,2018,6,June,2,Saturday,2
04/17/2017,2017,4,April,17,Monday,2
01/19/2019,2019,1,January,19,Saturday,1
07/13/2018,2018,7,July,13,Friday,3
06/18/2016,2016,6,June,18,Saturday,2
04/04/2019,2019,4,April,4,Thursday,2
04/03/2017,2017,4,April,3,Monday,2
06/27/2017,2017,6,June,27,Tuesday,2
11/18/2017,2017,11,November,18,Saturday,4
11/30/2016,2016,11,November,30,Wednesday,4
10/30/2017,2017,10,October,30,Monday,4
02/22/2019,2019,2,February,22,Friday,1
10/03/2016,2016,10,October,3,Monday,4
05/08/2017,2017,5,May,8,Monday,2
09/10/2019,2019,9,September,10,Tuesday,3
08/19/2017,2017,8,August,19,Saturday,3
09/26/2019,2019,9,September,26,Thursday,3
01/03/2017,2017,1,January,3,Tuesday,1
10/05/2016,2016,10,October,5,Wednesday,4
06/30/2017,2017,6,June,30,Friday,2
10/12/2016,2016,10,October,12,Wednesday,4
04/22/2016,2016,4,April,22,Friday,2
02/13/2019,2019,2,February,13,Wednesday,1
01/15/2020,2020,1,January,15,Wednesday,1
06/22/2018,2018,6,June,22,Friday,2
12/29/2016,2016,12,December,29,Thursday,4
08/05/2019,2019,8,August,5,Monday,3
12/24/2016,2016,12,December,24,Saturday,4
04/22/2019,2019,4,April,22,Monday,2
10/02/2017,2017,10,October,2,Monday,4
07/27/2017,2017,7,July,27,Thursday,3
01/03/2020,2020,1,January,3,Friday,1
06/10/2017,2017,6,June,10,Saturday,2
03/12/2018,2018,3,March,12,Monday,1
07/20/2016,2016,7,July,20,Wednesday,3
05/16/2017,2017,5,May,16,Tuesday,2
03/17/2019,2019,3,March,17,Sunday,1
05/10/2016,2016,5,May,10,Tuesday,2
06/12/2016,2016,6,June,12,Sunday,2
07/31/2017,2017,7,July,31,Monday,3
10/28/2019,2019,10,October,28,Monday,4
05/22/2019,2019,5,May,22,Wednesday,2
10/17/2017,2017,10,October,17,Tuesday,4
02/07/2019,2019,2,February,7,Thursday,1
07/09/2018,2018,7,July,9,Monday,3
02/24/2018,2018,2,February,24,Saturday,1
04/15/2017,2017,4,April,15,Saturday,2
06/03/2016,2016,6,June,3,Friday,2
05/05/2018,2018,5,May,5,Saturday,2
01/07/2016,2016,1,January,7,Thursday,1
03/04/2017,2017,3,March,4,Saturday,1
06/06/2019,2019,6,June,6,Thursday,2
01/17/2019,2019,1,January,17,Thursday,1
08/03/2018,2018,8,August,3,Friday,3
09/23/2017,2017,9,September,23,Saturday,3
03/03/2019,2019,3,March,3,Sunday,1
10/08/2019,2019,10,October,8,Tuesday,4
06/14/2018,2018,6,June,14,Thursday,2
07/24/2019,2019,7,July,24,Wednesday,3
03/10/2018,2018,3,March,10,Saturday,1
11/29/2018,2018,11,November,29,Thursday,4
11/01/2019,2019,11,November,1,Friday,4
10/23/2017,2017,10,October,23,Monday,4
10/11/2016,2016,10,October,11,Tuesday,4
10/14/2016,2016,10,October,14,Friday,4
04/19/2017,2017,4,April,19,Wednesday,2
01/04/2020,2020,1,January,4,Saturday,1
05/27/2017,2017,5,May,27,Saturday,2
03/01/2016,2016,3,March,1,Tuesday,1
01/14/2018,2018,1,January,14,Sunday,1
12/03/2018,2018,12,December,3,Monday,4
12/14/2016,2016,12,December,14,Wednesday,4
01/23/2017,2017,1,January,23,Monday,1
04/01/2019,2019,4,April,1,Monday,2
11/14/2019,2019,11,November,14,Thursday,4
10/27/2018,2018,10,October,27,Saturday,4
09/19/2019,2019,9,September,19,Thursday,3
07/26/2017,2017,7,July,26,Wednesday,3
09/07/2018,2018,9,September,7,Friday,3
01/19/2018,2018,1,January,19,Friday,1
05/12/2016,2016,5,May,12,Thursday,2
09/02/2016,2016,9,September,2,Friday,3
07/08/2016,2016,7,July,8,Friday,3
05/26/2018,2018,5,May,26,Saturday,2
02/23/2016,2016,2,February,23,Tuesday,1
06/07/2019,2019,6,June,7,Friday,2
03/09/2017,2017,3,March,9,Thursday,1
08/01/2019,2019,8,August,1,Thursday,3
01/31/2017,2017,1,January,31,Tuesday,1
07/09/2019,2019,7,July,9,Tuesday,3
12/21/2016,2016,12,December,21,Wednesday,4
02/22/2018,2018,2,February,22,Thursday,1
07/27/2016,2016,7,July,27,Wednesday,3
08/29/2016,2016,8,August,29,Monday,3
09/02/2017,2017,9,September,2,Saturday,3
01/24/2017,2017,1,January,24,Tuesday,1
09/14/2018,2018,9,September,14,Friday,3
07/31/2018,2018,7,July,31,Tuesday,3
10/02/2019,2019,10,October,2,Wednesday,4
10/12/2019,2019,10,October,12,Saturday,4
08/17/2017,2017,8,August,17,Thursday,3
03/26/2019,2019,3,March,26,Tuesday,1
02/13/2018,2018,2,February,13,Tuesday,1
04/11/2019,2019,4,April,11,Thursday,2
05/07/2018,2018,5,May,7,Monday,2
06/01/2019,2019,6,June,1,Saturday,2
05/15/2018,2018,5,May,15,Tuesday,2
04/20/2019,2019,4,April,20,Saturday,2
10/31/2018,2018,10,October,31,Wednesday,4
05/29/2018,2018,5,May,29,Tuesday,2
08/04/2016,2016,8,August,4,Thursday,3
05/10/2018,2018,5,May,10,Thursday,2
07/30/2018,2018,7,July,30,Monday,3
03/01/2018,2018,3,March,1,Thursday,1
08/04/2017,2017,8,August,4,Friday,3
10/26/2017,2017,10,October,26,Thursday,4
07/25/2017,2017,7,July,25,Tuesday,3
05/26/2017,2017,5,May,26,Friday,2
10/19/2015,2015,10,October,19,Monday,4
02/28/2017,2017,2,February,28,Tuesday,1
01/09/2017,2017,1,January,9,Monday,1
05/13/2016,2016,5,May,13,Friday,2
06/29/2016,2016,6,June,29,Wednesday,2
07/14/2016,2016,7,July,14,Thursday,3
04/29/2016,2016,4,April,29,Friday,2
03/23/2016,2016,3,March,23,Wednesday,1
07/02/2016,2016,7,July,2,Saturday,3
07/03/2018,2018,7,July,3,Tuesday,3
08/01/2018,2018,8,August,1,Wednesday,3
06/04/2019,2019,6,June,4,Tuesday,2
09/09/2016,2016,9,September,9,Friday,3
01/11/2020,2020,1,January,11,Saturday,1
05/04/2016,2016,5,May,4,Wednesday,2
05/20/2018,2018,5,May,20,Sunday,2
08/27/2016,2016,8,August,27,Saturday,3
04/21/2017,2017,4,April,21,Friday,2
09/28/2018,2018,9,September,28,Friday,3
10/19/2016,2016,10,October,19,Wednesday,4
06/16/2019,2019,6,June,16,Sunday,2
01/07/2015,2015,1,January,7,Wednesday,1
09/02/2019,2019,9,September,2,Monday,3
12/28/2019,2019,12,December,28,Saturday,4
04/07/2018,2018,4,April,7,Saturday,2
02/29/2016,2016,2,February,29,Monday,1
11/30/2019,2019,11,November,30,Saturday,4
07/10/2019,2019,7,July,10,Wednesday,3
08/16/2017,2017,8,August,16,Wednesday,3
08/27/2018,2018,8,August,27,Monday,3
01/24/2020,2020,1,January,24,Friday,1
09/20/2017,2017,9,September,20,Wednesday,3
07/18/2016,2016,7,July,18,Monday,3
01/19/2016,2016,1,January,19,Tuesday,1
08/08/2017,2017,8,August,8,Tuesday,3
09/03/2016,2016,9,September,3,Saturday,3
06/04/2018,2018,6,June,4,Monday,2
02/25/2020,2020,2,February,25,Tuesday,1
01/23/2019,2019,1,January,23,Wednesday,1
03/28/2016,2016,3,March,28,Monday,1
07/01/2020,2020,7,July,1,Wednesday,3
04/25/2019,2019,4,April,25,Thursday,2
05/08/2018,2018,5,May,8,Tuesday,2
11/22/2017,2017,11,November,22,Wednesday,4
11/01/2017,2017,11,November,1,Wednesday,4
11/21/2016,2016,11,November,21,Monday,4
06/16/2018,2018,6,June,16,Saturday,2
02/26/2016,2016,2,February,26,Friday,1
07/27/2018,2018,7,July,27,Friday,3
12/19/2017,2017,12,December,19,Tuesday,4
05/07/2017,2017,5,May,7,Sunday,2
04/30/2019,2019,4,April,30,Tuesday,2
03/16/2020,2020,3,March,16,Monday,1
03/13/2017,2017,3,March,13,Monday,1
10/19/2017,2017,10,October,19,Thursday,4
07/13/2016,2016,7,July,13,Wednesday,3
05/11/2017,2017,5,May,11,Thursday,2
09/05/2018,2018,9,September,5,Wednesday,3
01/25/2019,2019,1,January,25,Friday,1
05/21/2016,2016,5,May,21,Saturday,2
03/10/2019,2019,3,March,10,Sunday,1
03/29/2017,2017,3,March,29,Wednesday,1
03/21/2017,2017,3,March,21,Tuesday,1
02/09/2017,2017,2,February,9,Thursday,1
04/08/2017,2017,4,April,8,Saturday,2
07/06/2018,2018,7,July,6,Friday,3
07/14/2018,2018,7,July,14,Saturday,3
06/26/2019,2019,6,June,26,Wednesday,2
02/03/2016,2016,2,February,3,Wednesday,1
08/24/2017,2017,8,August,24,Thursday,3
08/10/2016,2016,8,August,10,Wednesday,3
10/10/2019,2019,10,October,10,Thursday,4
07/07/2018,2018,7,July,7,Saturday,3
04/08/2019,2019,4,April,8,Monday,2
01/12/2018,2018,1,January,12,Friday,1
08/16/2018,2018,8,August,16,Thursday,3
07/15/2017,2017,7,July,15,Saturday,3
11/23/2019,2019,11,November,23,Saturday,4
02/16/2019,2019,2,February,16,Saturday,1
06/24/2019,2019,6,June,24,Monday,2
07/25/2018,2018,7,July,25,Wednesday,3
10/20/2018,2018,10,October,20,Saturday,4
05/16/2016,2016,5,May,16,Monday,2
12/16/2016,2016,12,December,16,Friday,4
04/17/2016,2016,4,April,17,Sunday,2
02/17/2016,2016,2,February,17,Wednesday,1
11/10/2015,2015,11,November,10,Tuesday,4
10/04/2016,2016,10,October,4,Tuesday,4
02/15/2020,2020,2,February,15,Saturday,1
11/15/2017,2017,11,November,15,Wednesday,4
03/20/2018,2018,3,March,20,Tuesday,1
11/25/2016,2016,11,November,25,Friday,4
07/30/2016,2016,7,July,30,Saturday,3
06/25/2017,2017,6,June,25,Sunday,2
04/10/2016,2016,4,April,10,Sunday,2
03/11/2016,2016,3,March,11,Friday,1
03/12/2019,2019,3,March,12,Tuesday,1
10/07/2017,2017,10,October,7,Saturday,4
02/10/2019,2019,2,February,10,Sunday,1
02/11/2016,2016,2,February,11,Thursday,1
11/15/2016,2016,11,November,15,Tuesday,4
02/13/2020,2020,2,February,13,Thursday,1
09/22/2017,2017,9,September,22,Friday,3
11/24/2017,2017,11,November,24,Friday,4
09/14/2017,2017,9,September,14,Thursday,3
03/02/2016,2016,3,March,2,Wednesday,1
05/22/2016,2016,5,May,22,Sunday,2
04/29/2017,2017,4,April,29,Saturday,2
10/23/2019,2019,10,October,23,Wednesday,4
10/20/2017,2017,10,October,20,Friday,4
07/17/2017,2017,7,July,17,Monday,3
12/13/2017,2017,12,December,13,Wednesday,4
04/23/2019,2019,4,April,23,Tuesday,2
09/17/2016,2016,9,September,17,Saturday,3
03/09/2016,2016,3,March,9,Wednesday,1
03/10/2020,2020,3,March,10,Tuesday,1
09/11/2019,2019,9,September,11,Wednesday,3
02/15/2018,2018,2,February,15,Thursday,1
10/12/2017,2017,10,October,12,Thursday,4
05/16/2018,2018,5,May,16,Wednesday,2
03/05/2018,2018,3,March,5,Monday,1
10/24/2016,2016,10,October,24,Monday,4
07/21/2018,2018,7,July,21,Saturday,3
12/30/2016,2016,12,December,30,Friday,4
02/08/2016,2016,2,February,8,Monday,1
09/23/2018,2018,9,September,23,Sunday,3
02/14/2019,2019,2,February,14,Thursday,1
08/07/2019,2019,8,August,7,Wednesday,3
08/09/2017,2017,8,August,9,Wednesday,3
09/26/2018,2018,9,September,26,Wednesday,3
09/08/2018,2018,9,September,8,Saturday,3
10/14/2017,2017,10,October,14,Saturday,4
12/11/2016,2016,12,December,11,Sunday,4
12/02/2019,2019,12,December,2,Monday,4
03/12/2020,2020,3,March,12,Thursday,1
09/13/2017,2017,9,September,13,Wednesday,3
04/20/2016,2016,4,April,20,Wednesday,2
03/15/2018,2018,3,March,15,Thursday,1
03/27/2018,2018,3,March,27,Tuesday,1
05/09/2016,2016,5,May,9,Monday,2
12/10/2017,2017,12,December,10,Sunday,4
09/29/2019,2019,9,September,29,Sunday,3
05/09/2019,2019,5,May,9,Thursday,2
01/04/2017,2017,1,January,4,Wednesday,1
10/27/2016,2016,10,October,27,Thursday,4
09/22/2018,2018,9,September,22,Saturday,3
05/12/2017,2017,5,May,12,Friday,2
08/12/2016,2016,8,August,12,Friday,3
01/28/2018,2018,1,January,28,Sunday,1
02/14/2016,2016,2,February,14,Sunday,1
10/03/2019,2019,10,October,3,Thursday,4
12/18/2018,2018,12,December,18,Tuesday,4
04/10/2017,2017,4,April,10,Monday,2
08/05/2017,2017,8,August,5,Saturday,3
03/08/2016,2016,3,March,8,Tuesday,1
08/13/2019,2019,8,August,13,Tuesday,3
10/11/2018,2018,10,October,11,Thursday,4
03/30/2018,2018,3,March,30,Friday,1
01/25/2017,2017,1,January,25,Wednesday,1
09/28/2017,2017,9,September,28,Thursday,3
08/23/2018,2018,8,August,23,Thursday,3
04/09/2016,2016,4,April,9,Saturday,2
04/28/2016,2016,4,April,28,Thursday,2
09/30/2017,2017,9,September,30,Saturday,3
08/25/2019,2019,8,August,25,Sunday,3
04/23/2018,2018,4,April,23,Monday,2
06/15/2018,2018,6,June,15,Friday,2
07/11/2018,2018,7,July,11,Wednesday,3
05/15/2017,2017,5,May,15,Monday,2
02/16/2018,2018,2,February,16,Friday,1
07/24/2017,2017,7,July,24,Monday,3
04/09/2018,2018,4,April,9,Monday,2
06/17/2016,2016,6,June,17,Friday,2
06/08/2019,2019,6,June,8,Saturday,2
12/31/2019,2019,12,December,31,Tuesday,4
04/11/2018,2018,4,April,11,Wednesday,2
11/30/2018,2018,11,November,30,Friday,4
03/07/2018,2018,3,March,7,Wednesday,1
12/20/2019,2019,12,December,20,Friday,4
03/23/2017,2017,3,March,23,Thursday,1
03/25/2017,2017,3,March,25,Saturday,1
01/30/2016,2016,1,January,30,Saturday,1
05/08/2019,2019,5,May,8,Wednesday,2
04/04/2018,2018,4,April,4,Wednesday,2
03/18/2019,2019,3,March,18,Monday,1
12/31/2016,2016,12,December,31,Saturday,4
08/06/2015,2015,8,August,6,Thursday,3
05/11/2016,2016,5,May,11,Wednesday,2
07/10/2017,2017,7,July,10,Monday,3
03/31/2016,2016,3,March,31,Thursday,1
03/27/2019,2019,3,March,27,Wednesday,1
09/03/2019,2019,9,September,3,Tuesday,3
02/18/2020,2020,2,February,18,Tuesday,1
09/13/2019,2019,9,September,13,Friday,3
05/17/2017,2017,5,May,17,Wednesday,2
01/16/2020,2020,1,January,16,Thursday,1
01/10/2019,2019,1,January,10,Thursday,1
01/19/2017,2017,1,January,19,Thursday,1
02/27/2019,2019,2,February,27,Wednesday,1
08/08/2019,2019,8,August,8,Thursday,3
05/13/2017,2017,5,May,13,Saturday,2
12/28/2017,2017,12,December,28,Thursday,4
04/12/2017,2017,4,April,12,Wednesday,2
03/23/2018,2018,3,March,23,Friday,1
04/27/2017,2017,4,April,27,Thursday,2
05/30/2017,2017,5,May,30,Tuesday,2
01/18/2019,2019,1,January,18,Friday,1
03/10/2016,2016,3,March,10,Thursday,1
03/29/2016,2016,3,March,29,Tuesday,1
08/14/2019,2019,8,August,14,Wednesday,3
01/13/2020,2020,1,January,13,Monday,1
03/19/2019,2019,3,March,19,Tuesday,1
02/01/2019,2019,2,February,1,Friday,1
04/02/2017,2017,4,April,2,Sunday,2
03/06/2014,2014,3,March,6,Thursday,1
04/24/2016,2016,4,April,24,Sunday,2
12/12/2017,2017,12,December,12,Tuesday,4
08/14/2018,2018,8,August,14,Tuesday,3
01/28/2019,2019,1,January,28,Monday,1
02/19/2019,2019,2,February,19,Tuesday,1
10/22/2018,2018,10,October,22,Monday,4
02/24/2017,2017,2,February,24,Friday,1
12/04/2017,2017,12,December,4,Monday,4
05/20/2019,2019,5,May,20,Monday,2
03/06/2018,2018,3,March,6,Tuesday,1
02/02/2020,2020,2,February,2,Sunday,1
02/02/2019,2019,2,February,2,Saturday,1
11/05/2015,2015,11,November,5,Thursday,4
03/12/2016,2016,3,March,12,Saturday,1
11/18/2019,2019,11,November,18,Monday,4
05/04/2018,2018,5,May,4,Friday,2
01/10/2020,2020,1,January,10,Friday,1
11/15/2018,2018,11,November,15,Thursday,4
07/28/2018,2018,7,July,28,Saturday,3
12/21/2017,2017,12,December,21,Thursday,4
05/05/2016,2016,5,May,5,Thursday,2
06/27/2019,2019,6,June,27,Thursday,2
07/16/2018,2018,7,July,16,Monday,3
03/01/2017,2017,3,March,1,Wednesday,1
10/24/2019,2019,10,October,24,Thursday,4
07/12/2018,2018,7,July,12,Thursday,3
10/31/2016,2016,10,October,31,Monday,4
04/04/2017,2017,4,April,4,Tuesday,2
02/22/2020,2020,2,February,22,Saturday,1
11/09/2019,2019,11,November,9,Saturday,4
11/26/2018,2018,11,November,26,Monday,4
11/04/2017,2017,11,November,4,Saturday,4
04/14/2018,2018,4,April,14,Saturday,2
07/20/2019,2019,7,July,20,Saturday,3
03/06/2020,2020,3,March,6,Friday,1
02/04/2020,2020,2,February,4,Tuesday,1
03/19/2018,2018,3,March,19,Monday,1
10/21/2016,2016,10,October,21,Friday,4
09/06/2017,2017,9,September,6,Wednesday,3
10/12/2018,2018,10,October,12,Friday,4
02/27/2020,2020,2,February,27,Thursday,1
08/15/2016,2016,8,August,15,Monday,3
10/17/2019,2019,10,October,17,Thursday,4
05/30/2019,2019,5,May,30,Thursday,2
08/15/2017,2017,8,August,15,Tuesday,3
08/05/2016,2016,8,August,5,Friday,3
08/01/2016,2016,8,August,1,Monday,3
06/09/2016,2016,6,June,9,Thursday,2
12/02/2016,2016,12,December,2,Friday,4
05/31/2016,2016,5,May,31,Tuesday,2
05/22/2018,2018,5,May,22,Tuesday,2
10/29/2019,2019,10,October,29,Tuesday,4
01/12/2019,2019,1,January,12,Saturday,1
05/14/2019,2019,5,May,14,Tuesday,2
05/06/2019,2019,5,May,6,Monday,2
06/10/2019,2019,6,June,10,Monday,2
06/13/2018,2018,6,June,13,Wednesday,2
12/05/2019,2019,12,December,5,Thursday,4
09/14/2019,2019,9,September,14,Saturday,3
12/07/2017,2017,12,December,7,Thursday,4
05/23/2018,2018,5,May,23,Wednesday,2
12/26/2018,2018,12,December,26,Wednesday,4
08/25/2018,2018,8,August,25,Saturday,3
05/31/2019,2019,5,May,31,Friday,2
01/04/2018,2018,1,January,4,Thursday,1
08/09/2016,2016,8,August,9,Tuesday,3
01/12/2017,2017,1,January,12,Thursday,1
04/23/2016,2016,4,April,23,Saturday,2
01/21/2018,2018,1,January,21,Sunday,1
02/18/2017,2017,2,February,18,Saturday,1
10/04/2019,2019,10,October,4,Friday,4
12/19/2016,2016,12,December,19,Monday,4
12/14/2019,2019,12,December,14,Saturday,4
12/29/2018,2018,12,December,29,Saturday,4
04/18/2016,2016,4,April,18,Monday,2
09/11/2016,2016,9,September,11,Sunday,3
08/12/2017,2017,8,August,12,Saturday,3
08/24/2016,2016,8,August,24,Wednesday,3
07/23/2019,2019,7,July,23,Tuesday,3
07/13/2019,2019,7,July,13,Saturday,3
10/13/2016,2016,10,October,13,Thursday,4
03/17/2017,2017,3,March,17,Friday,1
01/11/2019,2019,1,January,11,Friday,1
06/23/2017,2017,6,June,23,Friday,2
06/17/2018,2018,6,June,17,Sunday,2
06/16/2016,2016,6,June,16,Thursday,2
02/05/2018,2018,2,February,5,Monday,1
03/03/2018,2018,3,March,3,Saturday,1
06/08/2018,2018,6,June,8,Friday,2
06/12/2019,2019,6,June,12,Wednesday,2
01/26/2018,2018,1,January,26,Friday,1
02/07/2020,2020,2,February,7,Friday,1
09/20/2016,2016,9,September,20,Tuesday,3
05/23/2016,2016,5,May,23,Monday,2
10/29/2016,2016,10,October,29,Saturday,4
04/30/2017,2017,4,April,30,Sunday,2
08/14/2017,2017,8,August,14,Monday,3
09/05/2019,2019,9,September,5,Thursday,3
01/07/2020,2020,1,January,7,Tuesday,1
03/30/2017,2017,3,March,30,Thursday,1
04/19/2019,2019,4,April,19,Friday,2
05/21/2019,2019,5,May,21,Tuesday,2
11/08/2017,2017,11,November,8,Wednesday,4
04/03/2018,2018,4,April,3,Tuesday,2
07/02/2019,2019,7,July,2,Tuesday,3
03/09/2020,2020,3,March,9,Monday,1
11/16/2019,2019,11,November,16,Saturday,4
07/06/2016,2016,7,July,6,Wednesday,3
03/05/2019,2019,3,March,5,Tuesday,1
02/07/2017,2017,2,February,7,Tuesday,1
12/26/2017,2017,12,December,26,Tuesday,4
09/25/2018,2018,9,September,25,Tuesday,3
06/29/2019,2019,6,June,29,Saturday,2
07/11/2017,2017,7,July,11,Tuesday,3
07/21/2017,2017,7,July,21,Friday,3
12/13/2019,2019,12,December,13,Friday,4
12/15/2016,2016,12,December,15,Thursday,4
06/12/2017,2017,6,June,12,Monday,2
10/01/2016,2016,10,October,1,Saturday,4
11/12/2016,2016,11,November,12,Saturday,4
10/22/2019,2019,10,October,22,Tuesday,4
07/21/2016,2016,7,July,21,Thursday,3
11/17/2018,2018,11,November,17,Saturday,4
02/12/2019,2019,2,February,12,Tuesday,1
07/06/2017,2017,7,July,6,Thursday,3
09/15/2017,2017,9,September,15,Friday,3
12/06/2018,2018,12,December,6,Thursday,4
11/18/2016,2016,11,November,18,Friday,4
04/16/2016,2016,4,April,16,Saturday,2
03/04/2018,2018,3,March,4,Sunday,1
09/12/2017,2017,9,September,12,Tuesday,3
07/26/2019,2019,7,July,26,Friday,3
04/05/2016,2016,4,April,5,Tuesday,2
01/18/2020,2020,1,January,18,Saturday,1
06/29/2017,2017,6,June,29,Thursday,2
11/07/2015,2015,11,November,7,Saturday,4
03/26/2016,2016,3,March,26,Saturday,1
04/18/2018,2018,4,April,18,Wednesday,2
01/02/2018,2018,1,January,2,Tuesday,1
12/05/2016,2016,12,December,5,Monday,4
06/24/2017,2017,6,June,24,Saturday,2
06/18/2019,2019,6,June,18,Tuesday,2
01/17/2018,2018,1,January,17,Wednesday,1
04/02/2018,2018,4,April,2,Monday,2
12/13/2016,2016,12,December,13,Tuesday,4
12/08/2017,2017,12,December,8,Friday,4
05/01/2017,2017,5,May,1,Monday,2
02/11/2015,2015,2,February,11,Wednesday,1
10/24/2015,2015,10,October,24,Saturday,4
01/29/2017,2017,1,January,29,Sunday,1
07/19/2019,2019,7,July,19,Friday,3
08/12/2019,2019,8,August,12,Monday,3
09/15/2016,2016,9,September,15,Thursday,3
10/24/2018,2018,10,October,24,Wednesday,4
07/03/2019,2019,7,July,3,Wednesday,3
06/07/2016,2016,6,June,7,Tuesday,2
03/15/2019,2019,3,March,15,Friday,1
09/28/2016,2016,9,September,28,Wednesday,3
10/24/2017,2017,10,October,24,Tuesday,4
11/16/2017,2017,11,November,16,Thursday,4
